"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"10 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","121768.00","124157.00","121768.00","123970.00","121067.00","11488","11488.000 GRMS ","1414325.63","12558"
"07 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","120839.00","121640.00","120551.00","121067.00","120613.00","8896","8896.000 GRMS ","1076812.10","12906"
"06 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","120500.00","121550.00","120125.00","120613.00","120522.00","9202","9202.000 GRMS ","1112589.51","13489"
"05 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","120002.00","120670.00","119900.00","120522.00","119797.00","4467","4467.000 GRMS ","537572.28","13562"
"04 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","120802.00","121160.00","119150.00","119797.00","121409.00","13213","13213.000 GRMS ","1590569.40","13335"
"03 Nov 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","121435.00","122146.00","121165.00","121409.00","121232.00","10668","10668.000 GRMS ","1297693.77","13406"
"31 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","121148.00","122325.00","120628.00","121232.00","121508.00","16041","16041.000 GRMS ","1949764.07","13019"
"30 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","119125.00","121680.00","118665.00","121508.00","120666.00","18063","18063.000 GRMS ","2178026.75","13025"
"29 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","119647.00","121640.00","119351.00","120666.00","119646.00","12628","12628.000 GRMS ","1525476.10","12784"
"28 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","120106.00","120106.00","117628.00","119646.00","120957.00","13046","13046.000 GRMS ","1548307.51","12871"
"27 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","122500.00","122890.00","120092.00","120957.00","123451.00","15516","15516.000 GRMS ","1886008.16","13007"
"24 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","123587.00","124239.00","121400.00","123451.00","124104.00","16095","16095.000 GRMS ","1977774.64","12343"
"23 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","122300.00","124600.00","122300.00","124104.00","121857.00","12391","12391.000 GRMS ","1531225.15","12885"
"22 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","124423.00","124423.00","120515.00","121857.00","128271.00","16930","16930.000 GRMS ","2053419.69","13431"
"21 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","128200.00","129482.00","126900.00","128271.00","130624.00","4190","4190.000 GRMS ","537127.05","14313"
"20 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","127817.00","130749.00","126655.00","130624.00","127008.00","18768","18768.000 GRMS ","2416543.72","14630"
"17 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","131026.00","132294.00","125957.00","127008.00","129852.00","40135","40135.000 GRMS ","5203377.00","14817"
"16 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","127604.00","130005.00","127450.00","129852.00","127210.00","18323","18323.000 GRMS ","2354632.10","15478"
"15 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","126915.00","127740.00","126216.00","127210.00","126256.00","16125","16125.000 GRMS ","2049209.00","15905"
"14 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","126041.00","126930.00","124243.00","126256.00","124629.00","24874","24874.000 GRMS ","3128363.71","15648"
"13 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","123239.00","124852.00","123000.00","124629.00","121364.00","16514","16514.000 GRMS ","2046310.29","15705"
"10 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","121001.00","122284.00","120023.00","121364.00","120493.00","20095","20095.000 GRMS ","2435040.50","16589"
"09 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","122111.00","123677.00","120218.00","120493.00","123209.00","25611","25611.000 GRMS ","3133988.49","16582"
"08 Oct 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","121945.00","123450.00","121878.00","123209.00","121111.00","16893","16893.000 GRMS ","2073692.56","15980"
